00|75.518.289/5908-84|Empresa Versao2 01 LTDA|(48) 94113-6042
03|4|Classe 38|
02|3|Produto 349|47.78
03|1|Tipo 52|
03|2|Categoria 61|
03|3|Classe 46|
02|4|Componente 305|137.36
03|1|Categoria 22|
03|2|Tipo 74|
03|3|Classe 44|
03|4|Tipo 50|
02|5|Item 689|189.84
03|1|Categoria 71|
02|6|Item 736|373.77
03|1|Categoria 72|
02|7|Assinatura 662|299.79
03|1|Classe 93|
03|2|Grupo 52|
01|NFC|01-0007|2032.96
02|1|Assinatura 630|490.96
03|1|Classe 90|
02|2|Peça 886|29.99
03|1|Grupo 61|
02|3|Produto 256|114.01
03|1|Classe 78|
03|2|Categoria 73|
03|3|Tipo 20|
02|4|Item 362|357.91
03|1|Classe 19|
03|2|Tipo 95|
02|5|Componente 162|145.67
03|1|Categoria 89|
02|6|Componente 974|291.44
03|1|Tipo 73|
03|2|Classe 93|
03|3|Categoria 50|
03|4|Classe 73|
02|7|Produto 602|113.32
03|1|Grupo 86|
03|2|Tipo 85|
02|8|Peça 974|182.22
03|1|Classe 33|
02|9|Componente 445|307.44
03|1|Classe 40|
01|CTRC|01-0008|1974.66
02|1|Item 218|410.58
03|1|Tipo 19|
02|2|Licença 776|200.73
03|1|Grupo 66|
03|2|Grupo 64|
03|3|Categoria 56|
03|4|Categoria 74|
02|3|Produto 495|284.10
03|1|Categoria 72|
03|2|Categoria 28|
02|4|Componente 973|224.45
03|1|Classe 45|
02|5|Produto 046|217.50
03|1|Grupo 29|
03|2|Classe 42|
02|6|Assinatura 134|473.71
03|1|Grupo 93|
03|2|Classe 21|
03|3|Categoria 31|
03|4|Classe 89|
02|7|Item 108|163.59
03|1|Tipo 39|
01|CTRC|01-0009|2733.56
02|1|Serviço 584|292.04
03|1|Tipo 86|
02|2|Produto 546|16.65
03|1|Classe 56|
03|2|Classe 51|
03|3|Categoria 97|
02|3|Pacote 943|254.08
03|1|Classe 67|
03|2|Grupo 72|
03|3|Grupo 97|
02|4|Produto 063|412.34
03|1|Categoria 81|
03|2|Tipo 29|
03|3|Grupo 01|
03|4|Categoria 61|
02|5|Pacote 815|18.75
03|1|Categoria 27|
03|2|Classe 13|
03|3|Grupo 04|
03|4|Classe 11|
02|6|Pacote 622|496.57
03|1|Categoria 30|
03|2|Categoria 31|
02|7|Componente 532|308.81
03|1|Grupo 40|
03|2|Grupo 84|
02|8|Componente 309|307.24
03|1|Classe 43|
02|9|Pacote 765|417.85
03|1|Grupo 10|
02|10|Produto 900|209.23
03|1|Classe 10|
03|2|Classe 66|
03|3|Classe 58|
01|NFC|01-0010|2823.75
02|1|Peça 644|451.92
03|1|Tipo 90|
02|2|Produto 675|339.25
03|1|Classe 09|
02|3|Assinatura 970|447.61
03|1|Categoria 45|
02|4|Licença 799|104.84
03|1|Categoria 83|
03|2|Grupo 34|
03|3|Classe 80|
03|4|Classe 63|
02|5|Peça 461|414.72
03|1|Categoria 59|
03|2|Tipo 51|
03|3|Classe 26|
03|4|Grupo 76|
02|6|Produto 319|497.48
03|1|Tipo 34|
03|2|Categoria 49|
03|3|Tipo 22|
03|4|Categoria 55|
02|7|Assinatura 325|373.48
03|1|Tipo 99|
03|2|Categoria 40|
03|3|Tipo 29|
03|4|Classe 55|
02|8|Produto 911|194.45
03|1|Tipo 41|
03|2|Categoria 64|
03|3|Classe 53|
00|58.570.338/2910-06|Empresa Versao2 02 LTDA|(36) 94858-6745
01|NFC|02-0001|2813.71
02|1|Peça 052|157.88
03|1|Grupo 88|
02|2|Licença 921|64.98
03|1|Classe 51|
03|2|Categoria 07|
03|3|Categoria 11|
02|3|Componente 286|275.08
03|1|Grupo 90|
02|4|Serviço 043|495.17
03|1|Grupo 16|
03|2|Grupo 62|
02|5|Pacote 168|493.91
03|1|Classe 12|
03|2|Grupo 63|
02|6|Licença 223|449.18
03|1|Tipo 00|
02|7|Pacote 666|312.59
03|1|Tipo 14|
03|2|Tipo 61|
03|3|Grupo 19|
02|8|Serviço 512|429.44
03|1|Classe 99|
02|9|Serviço 825|135.48
03|1|Categoria 24|
03|2|Tipo 63|
03|3|Grupo 86|
03|4|Tipo 48|
01|NFC|02-0002|2200.52
02|1|Licença 713|50.32
03|1|Grupo 80|
02|2|Produto 890|451.04
03|1|Classe 45|
03|2|Grupo 31|
02|3|Licença 682|108.28
03|1|Categoria 25|
03|2|Tipo 57|
03|3|Grupo 16|
02|4|Serviço 365|234.47
03|1|Categoria 14|
02|5|Produto 391|446.72
03|1|Categoria 52|
02|6|Item 237|60.68
03|1|Classe 03|
03|2|Grupo 39|
02|7|Pacote 789|104.49
03|1|Categoria 61|
03|2|Classe 31|
03|3|Grupo 04|
02|8|Componente 180|452.35
03|1|Categoria 46|
03|2|Tipo 76|
03|3|Tipo 90|
03|4|Classe 30|
02|9|Licença 071|145.07
03|1|Grupo 55|
02|10|Item 385|147.10
03|1|Tipo 79|
03|2|Grupo 20|
03|3|Categoria 11|
03|4|Classe 42|
01|NFS|02-0003|2004.28
02|1|Serviço 521|327.67
03|1|Grupo 90|
03|2|Categoria 35|
03|3|Tipo 91|
02|2|Item 540|351.23
03|1|Tipo 15|
02|3|Peça 194|107.54
03|1|Grupo 63|
02|4|Produto 271|296.35
03|1|Categoria 42|
03|2|Classe 03|
03|3|Classe 88|
02|5|Assinatura 348|365.86
03|1|Categoria 31|
03|2|Classe 16|
03|3|Classe 78|
02|6|Licença 169|120.70
03|1|Grupo 21|
03|2|Categoria 07|
03|3|Grupo 65|
02|7|Componente 546|434.93
03|1|Tipo 05|
03|2|Classe 63|
03|3|Grupo 77|
01|CTRC|02-0004|2242.13
02|1|Componente 876|416.39
03|1|Grupo 49|
03|2|Categoria 87|
03|3|Classe 72|
03|4|Classe 63|
02|2|Licença 047|307.29
03|1|Tipo 74|
03|2|Categoria 13|
02|3|Item 201|313.60
03|1|Categoria 54|
02|4|Assinatura 789|459.40
03|1|Tipo 71|
03|2|Categoria 78|
03|3|Grupo 79|
02|5|Produto 470|316.20
03|1|Categoria 53|
03|2|Categoria 35|
03|3|Categoria 73|
02|6|Item 926|103.23
03|1|Grupo 80|
02|7|Licença 093|208.25
03|1|Categoria 48|
03|2|Categoria 45|
03|3|Categoria 84|
03|4|Grupo 98|
02|8|Licença 238|117.77
03|1|Classe 62|
03|2|Grupo 97|
01|CTRC|02-0005|1797.10
02|1|Produto 830|46.76
03|1|Categoria 68|
02|2|Componente 240|262.44
03|1|Categoria 51|
03|2|Categoria 75|
02|3|Item 400|10.50
03|1|Grupo 07|
02|4|Componente 855|472.52
03|1|Grupo 16|
03|2|Grupo 04|
02|5|Serviço 267|410.37
03|1|Categoria 81|
03|2|Categoria 94|
03|3|Grupo 64|
03|4|Classe 89|
02|6|Serviço 552|54.74
03|1|Classe 69|
03|2|Grupo 18|
03|3|Tipo 85|
02|7|Peça 062|367.81
03|1|Categoria 77|
03|2|Tipo 31|
02|8|Componente 598|171.96
03|1|Tipo 12|
03|2|Grupo 85|
03|3|Grupo 38|
03|4|Grupo 98|
01|NFC|02-0006|3098.77
02|1|Licença 265|230.32
03|1|Tipo 47|
03|2|Tipo 53|
02|2|Peça 137|474.78
03|1|Grupo 15|
03|2|Classe 82|
03|3|Categoria 09|
02|3|Licença 171|374.16
03|1|Grupo 34|
03|2|Tipo 05|
02|4|Componente 661|209.70
03|1|Grupo 27|
03|2|Categoria 71|
03|3|Grupo 54|
02|5|Componente 661|53.89
03|1|Tipo 21|
03|2|Tipo 47|
03|3|Classe 49|
02|6|Componente 303|275.69
03|1|Tipo 39|
03|2|Classe 18|
02|7|Peça 272|489.20
03|1|Grupo 41|
03|2|Tipo 73|
03|3|Grupo 01|
02|8|Assinatura 203|332.14
03|1|Tipo 92|
02|9|Licença 937|392.26
03|1|Tipo 56|
03|2|Tipo 66|
03|3|Classe 91|
02|10|Serviço 880|266.63
03|1|Classe 38|
03|2|Grupo 08|
03|3|Tipo 81|
03|4|Tipo 60|
01|NFS|02-0007|1924.18
02|1|Produto 160|482.87
03|1|Categoria 43|
03|2|Classe 90|
03|3|Classe 01|
03|4|Tipo 10|
02|2|Pacote 206|479.67
03|1|Grupo 81|
03|2|Categoria 04|
02|3|Assinatura 397|156.33
03|1|Classe 13|
02|4|Serviço 096|377.91
03|1|Categoria 37|
02|5|Assinatura 220|427.40
03|1|Grupo 21|
01|CTRC|02-0008|1683.67
02|1|Licença 276|190.36
03|1|Categoria 17|
03|2|Tipo 91|
03|3|Categoria 82|
03|4|Classe 34|
02|2|Peça 799|354.81
03|1|Categoria 59|
03|2|Tipo 67|
03|3|Grupo 45|
02|3|Item 500|494.06
03|1|Categoria 13|
02|4|Item 883|229.98
03|1|Grupo 19|
02|5|Pacote 075|15.21
03|1|Classe 34|
03|2|Grupo 48|
03|3|Categoria 95|
03|4|Categoria 09|
02|6|Componente 281|310.94
03|1|Categoria 82|
03|2|Grupo 09|
03|3|Grupo 48|
02|7|Peça 043|88.31
03|1|Tipo 79|
03|2|Classe 76|
03|3|Classe 64|
03|4|Categoria 63|
01|CTRC|02-0009|2394.76
02|1|Produto 265|372.39
03|1|Categoria 95|
03|2|Classe 43|
03|3|Classe 64|
02|2|Assinatura 768|329.07
03|1|Categoria 15|
03|2|Categoria 51|
03|3|Classe 47|
03|4|Tipo 93|
02|3|Item 652|341.17
03|1|Categoria 68|
03|2|Classe 64|
02|4|Serviço 561|404.46
03|1|Categoria 33|
02|5|Serviço 297|90.30
03|1|Tipo 54|
03|2|Categoria 05|
03|3|Grupo 79|
02|6|Pacote 601|20.61
03|1|Categoria 97|
03|2|Grupo 67|
03|3|Tipo 43|
03|4|Grupo 93|
02|7|Produto 596|379.42
03|1|Categoria 96|
03|2|Grupo 04|
03|3|Classe 17|
02|8|Componente 715|74.90
03|1|Categoria 09|
03|2|Tipo 02|
02|9|Serviço 140|91.44
03|1|Tipo 16|
02|10|Item 038|291.00
03|1|Tipo 78|
03|2|Grupo 77|
01|NF|02-0010|2236.33
02|1|Componente 472|471.71
03|1|Grupo 34|
02|2|Serviço 279|213.50
03|1|Grupo 63|
02|3|Item 002|469.57
03|1|Categoria 04|
03|2|Tipo 34|
03|3|Categoria 58|
03|4|Grupo 15|
02|4|Serviço 083|306.34
03|1|Categoria 38|
03|2|Classe 90|
02|5|Pacote 705|482.38
03|1|Tipo 38|
03|2|Classe 79|
03|3|Classe 24|
02|6|Peça 733|10.49
03|1|Tipo 14|
03|2|Classe 85|
03|3|Classe 99|
02|7|Peça 217|282.34
03|1|Tipo 57|
03|2|Categoria 20|
03|3|Tipo 53|
03|4|Categoria 90|
00|78.518.772/0784-00|Empresa Versao2 03 LTDA|(28) 91541-7686
01|NF|03-0001|952.72
02|1|Componente 042|56.75
03|1|Grupo 73|
03|2|Tipo 46|
03|3|Categoria 57|
03|4|Tipo 02|
02|2|Item 501|230.38
03|1|Tipo 38|
03|2|Tipo 63|
02|3|Peça 419|214.65
03|1|Classe 73|
02|4|Pacote 831|226.52
03|1|Tipo 78|
03|2|Categoria 47|
02|5|Assinatura 916|224.42
03|1|Categoria 83|
03|2|Classe 23|
03|3|Classe 28|
01|NFC|03-0002|2634.16
02|1|Item 336|207.60
03|1|Tipo 99|
02|2|Peça 285|401.29
03|1|Categoria 76|
03|2|Grupo 88|
03|3|Grupo 57|
03|4|Classe 91|
02|3|Produto 808|61.16
03|1|Grupo 40|
03|2|Classe 58|
02|4|Peça 916|389.65
03|1|Classe 28|
03|2|Grupo 41|
03|3|Categoria 91|
02|5|Item 515|481.33
03|1|Classe 48|
03|2|Categoria 07|
02|6|Peça 539|23.03
03|1|Grupo 14|
03|2|Classe 37|
03|3|Grupo 76|
03|4|Grupo 20|
02|7|Item 885|273.36
03|1|Categoria 17|
03|2|Classe 82|
03|3|Classe 37|
03|4|Grupo 30|
02|8|Pacote 681|178.96
03|1|Grupo 87|
03|2|Classe 49|
03|3|Tipo 64|
02|9|Serviço 580|383.05
03|1|Grupo 91|
02|10|Serviço 039|234.73
03|1|Grupo 21|
01|NFS|03-0003|931.30
02|1|Serviço 338|166.94
03|1|Categoria 00|
03|2|Grupo 83|
03|3|Classe 70|
02|2|Pacote 350|162.48
03|1|Classe 70|
03|2|Grupo 73|
03|3|Tipo 36|
03|4|Classe 44|
02|3|Item 742|190.56
03|1|Classe 55|
03|2|Grupo 61|
03|3|Grupo 84|
02|4|Pacote 755|321.23
03|1|Tipo 62|
03|2|Tipo 64|
02|5|Peça 069|90.09
03|1|Grupo 26|
01|NFS|03-0004|2181.07
02|1|Peça 010|311.76
03|1|Classe 35|
02|2|Item 483|53.42
03|1|Classe 45|
02|3|Peça 495|458.45
03|1|Classe 24|
03|2|Tipo 40|
02|4|Item 356|299.20
03|1|Classe 99|
03|2|Grupo 40|
02|5|Pacote 561|486.37
03|1|Categoria 92|
02|6|Pacote 714|34.04
03|1|Classe 21|
02|7|Licença 828|75.17
03|1|Grupo 72|
02|8|Pacote 124|386.27
03|1|Classe 85|
02|9|Item 724|76.39
03|1|Grupo 85|
03|2|Categoria 03|
03|3|Tipo 03|
01|NFS|03-0005|1924.25
02|1|Item 076|336.00
03|1|Categoria 41|
03|2|Grupo 63|
02|2|Item 378|262.31
03|1|Categoria 06|
02|3|Item 755|194.38
03|1|Categoria 34|
02|4|Produto 025|364.89
03|1|Categoria 49|
02|5|Componente 521|186.14
03|1|Tipo 20|
03|2|Categoria 91|
03|3|Grupo 89|
03|4|Classe 89|
02|6|Peça 457|218.62
03|1|Categoria 80|
02|7|Licença 471|133.33
03|1|Classe 50|
03|2|Classe 24|
02|8|Peça 683|77.22
03|1|Classe 83|
02|9|Item 308|151.36
03|1|Categoria 18|
03|2|Grupo 97|
01|NFC|03-0006|2108.86
02|1|Serviço 649|94.06
03|1|Categoria 49|
03|2|Classe 33|
03|3|Classe 74|
03|4|Tipo 33|
02|2|Serviço 978|256.67
03|1|Classe 88|
02|3|Item 314|65.05
03|1|Classe 26|
03|2|Categoria 04|
03|3|Classe 04|
03|4|Tipo 40|
02|4|Assinatura 369|244.43
03|1|Classe 80|
03|2|Tipo 90|
02|5|Produto 432|309.11
03|1|Grupo 99|
02|6|Produto 451|164.22
03|1|Tipo 80|
03|2|Tipo 65|
03|3|Classe 80|
03|4|Classe 77|
02|7|Produto 610|474.38
03|1|Categoria 86|
03|2|Grupo 19|
03|3|Grupo 09|
03|4|Classe 91|
02|8|Pacote 731|148.55
03|1|Tipo 07|
02|9|Pacote 203|12.09
03|1|Tipo 10|
03|2|Classe 25|
03|3|Classe 12|
02|10|Licença 797|340.30
03|1|Tipo 18|
01|NFS|03-0007|945.96
02|1|Serviço 683|40.61
03|1|Grupo 49|
03|2|Categoria 13|
03|3|Tipo 54|
02|2|Produto 659|90.41
03|1|Tipo 96|
03|2|Classe 21|
03|3|Classe 27|
02|3|Licença 798|190.88
03|1|Tipo 79|
03|2|Grupo 34|
02|4|Licença 791|375.46
03|1|Categoria 36|
03|2|Grupo 91|
02|5|Licença 066|248.60
03|1|Tipo 80|
01|NFS|03-0008|1321.65
02|1|Licença 327|128.14
03|1|Classe 83|
03|2|Categoria 71|
03|3|Classe 35|
03|4|Categoria 83|
02|2|Peça 480|495.92
03|1|Tipo 97|
02|3|Pacote 177|16.13
03|1|Classe 10|
03|2|Categoria 22|
03|3|Categoria 03|
03|4|Categoria 41|
02|4|Assinatura 019|212.32
03|1|Categoria 23|
03|2|Classe 06|
03|3|Classe 24|
03|4|Tipo 27|
02|5|Produto 564|202.54
03|1|Categoria 65|
03|2|Tipo 40|
03|3|Categoria 04|
02|6|Componente 741|266.60
03|1|Categoria 98|
03|2|Tipo 54|
01|NFE|03-0009|1431.95
02|1|Serviço 509|95.13
03|1|Categoria 34|
03|2|Tipo 51|
03|3|Tipo 24|
03|4|Classe 15|
02|2|Serviço 921|32.79
03|1|Grupo 29|
03|2|Categoria 80|
03|3|Categoria 22|
03|4|Tipo 67|
02|3|Serviço 517|498.25
03|1|Categoria 90|
03|2|Categoria 81|
03|3|Grupo 98|
02|4|Licença 291|407.39
03|1|Tipo 88|
03|2|Tipo 31|
03|3|Tipo 50|
03|4|Grupo 16|
02|5|Serviço 306|398.39
03|1|Classe 05|
01|NFS|03-0010|1102.28
02|1|Componente 687|189.07
03|1|Classe 58|
03|2|Tipo 60|
03|3|Classe 84|
03|4|Tipo 23|
02|2|Peça 028|493.15
03|1|Classe 63|
03|2|Grupo 90|
03|3|Classe 10|
03|4|Tipo 37|
02|3|Licença 012|83.21
03|1|Categoria 32|
03|2|Categoria 68|
02|4|Item 432|124.82
03|1|Grupo 18|
02|5|Assinatura 917|212.03
03|1|Tipo 62|
03|2|Grupo 45|
00|48.936.008/3883-20|Empresa Versao2 04 LTDA|(43) 98277-8674
01|NFS|04-0001|1814.86
02|1|Licença 551|494.23
03|1|Categoria 74|
03|2|Tipo 88|
03|3|Classe 44|
03|4|Classe 84|
02|2|Peça 541|255.92
03|1|Classe 45|
03|2|Tipo 53|
03|3|Categoria 81|
03|4|Tipo 78|
02|3|Peça 985|223.77
03|1|Tipo 39|
03|2|Classe 90|
03|3|Tipo 61|
03|4|Tipo 34|
02|4|Peça 490|289.66
03|1|Tipo 59|
03|2|Categoria 08|
03|3|Tipo 90|
02|5|Pacote 007|276.13
03|1|Grupo 15|
03|2|Classe 00|
02|6|Assinatura 033|223.48
03|1|Classe 37|
02|7|Componente 614|51.67
03|1|Grupo 97|
03|2|Categoria 37|
03|3|Classe 91|
01|NFC|04-0002|1676.90
02|1|Produto 820|368.84
03|1|Grupo 47|
03|2|Grupo 90|
03|3|Classe 90|
02|2|Componente 099|339.33
03|1|Grupo 21|
03|2|Tipo 73|
03|3|Tipo 62|
03|4|Categoria 50|
02|3|Assinatura 034|105.85
03|1|Grupo 84|
03|2|Grupo 38|
03|3|Classe 57|
02|4|Serviço 927|196.80
03|1|Categoria 47|
03|2|Grupo 78|
03|3|Tipo 55|
03|4|Categoria 75|
02|5|Item 543|18.45
03|1|Categoria 23|
03|2|Classe 90|
03|3|Categoria 14|
02|6|Assinatura 047|54.10
03|1|Categoria 07|
03|2|Grupo 31|
03|3|Categoria 29|
03|4|Grupo 82|
02|7|Peça 299|136.71
03|1|Categoria 27|
03|2|Grupo 74|
02|8|Produto 794|98.44
03|1|Classe 29|
03|2|Tipo 17|
03|3|Tipo 21|
03|4|Grupo 92|
02|9|Produto 122|358.38
03|1|Categoria 19|
03|2|Grupo 02|
03|3|Categoria 45|
01|NFC|04-0003|1680.61
02|1|Produto 906|85.92
03|1|Tipo 25|
02|2|Pacote 997|466.14
03|1|Categoria 99|
03|2|Tipo 22|
03|3|Classe 27|
03|4|Tipo 44|
02|3|Assinatura 634|26.78
03|1|Categoria 61|
02|4|Produto 078|344.15
03|1|Categoria 43|
03|2|Categoria 69|
02|5|Serviço 009|485.02
03|1|Grupo 92|
03|2|Tipo 12|
02|6|Licença 336|235.10
03|1|Categoria 23|
03|2|Categoria 35|
03|3|Grupo 22|
03|4|Grupo 47|
02|7|Componente 344|37.50
03|1|Grupo 64|
03|2|Tipo 19|
03|3|Classe 40|
03|4|Tipo 29|
01|NFC|04-0004|1701.28
02|1|Assinatura 434|67.99
03|1|Classe 98|
03|2|Grupo 46|
03|3|Categoria 00|
03|4|Tipo 22|
02|2|Pacote 545|97.44
03|1|Tipo 79|
02|3|Item 878|241.03
03|1|Grupo 95|
02|4|Produto 840|140.08
03|1|Tipo 79|
03|2|Grupo 22|
03|3|Categoria 07|
02|5|Assinatura 146|446.95
03|1|Classe 75|
03|2|Categoria 12|
03|3|Categoria 41|
03|4|Tipo 35|
02|6|Licença 565|13.81
03|1|Categoria 53|
02|7|Assinatura 113|333.36
03|1|Categoria 22|
03|2|Categoria 76|
03|3|Classe 97|
02|8|Componente 241|360.62
03|1|Tipo 66|
03|2|Classe 12|
01|NFE|04-0005|1531.51
02|1|Assinatura 155|483.22
03|1|Grupo 09|
03|2|Classe 23|
03|3|Classe 99|
03|4|Classe 25|
02|2|Peça 738|274.21
03|1|Tipo 30|
03|2|Categoria 48|
02|3|Licença 617|428.93
03|1|Grupo 99|
03|2|Tipo 90|
02|4|Serviço 916|181.88
03|1|Categoria 70|
02|5|Item 161|163.27
03|1|Categoria 38|
03|2|Grupo 98|
03|3|Classe 99|
03|4|Tipo 55|
01|NFC|04-0006|1886.47
02|1|Item 862|317.69
03|1|Classe 67|
03|2|Grupo 33|
03|3|Categoria 09|
02|2|Componente 930|171.03
03|1|Classe 99|
03|2|Categoria 32|
03|3|Classe 66|
03|4|Classe 87|
02|3|Peça 614|362.18
03|1|Tipo 58|
02|4|Produto 357|419.41
03|1|Classe 16|
03|2|Classe 11|
02|5|Produto 613|147.86
03|1|Tipo 15|
03|2|Categoria 34|
03|3|Categoria 83|
03|4|Grupo 11|
02|6|Pacote 976|287.40
03|1|Classe 93|
03|2|Categoria 25|
03|3|Classe 33|
03|4|Categoria 99|
02|7|Licença 644|180.90
03|1|Categoria 61|
03|2|Tipo 81|
03|3|Tipo 31|
01|NFS|04-0007|3355.93
02|1|Assinatura 306|419.91
03|1|Tipo 70|
03|2|Tipo 35|
02|2|Assinatura 902|166.42
03|1|Grupo 45|
03|2|Grupo 30|
02|3|Licença 068|344.80
03|1|Categoria 52|
02|4|Licença 265|425.69
03|1|Categoria 54|
03|2|Classe 88|
03|3|Categoria 24|
03|4|Categoria 45|
02|5|Item 689|438.50
03|1|Grupo 92|
03|2|Classe 67|
03|3|Tipo 86|
03|4|Tipo 55|
02|6|Assinatura 262|149.72
03|1|Tipo 11|
02|7|Peça 563|498.97
03|1|Classe 74|
03|2|Tipo 38|
03|3|Categoria 50|
03|4|Categoria 74|
02|8|Assinatura 019|478.27
03|1|Categoria 78|
03|2|Grupo 17|
02|9|Peça 826|433.65
03|1|Tipo 54|
03|2|Categoria 19|
01|NFS|04-0008|2592.34
02|1|Pacote 816|425.45
03|1|Classe 40|
03|2|Categoria 75|
03|3|Categoria 55|
03|4|Tipo 92|
02|2|Licença 173|382.95
03|1|Categoria 27|
03|2|Tipo 05|
03|3|Categoria 82|
03|4|Tipo 63|
02|3|Pacote 038|140.52
03|1|Categoria 16|
03|2|Grupo 85|
03|3|Grupo 45|
02|4|Componente 298|283.59
03|1|Categoria 09|
03|2|Tipo 14|
02|5|Serviço 040|356.26
03|1|Grupo 05|
03|2|Classe 11|
02|6|Assinatura 537|344.96
03|1|Categoria 90|
02|7|Pacote 509|130.58
03|1|Classe 16|
03|2|Tipo 75|
03|3|Classe 15|
02|8|Peça 619|82.40
03|1|Categoria 31|
03|2|Classe 45|
02|9|Assinatura 609|445.63
03|1|Tipo 51|
03|2|Tipo 41|
03|3|Categoria 63|
03|4|Grupo 03|
01|NFS|04-0009|1229.44
02|1|Assinatura 946|53.86
03|1|Categoria 56|
02|2|Item 364|498.88
03|1|Tipo 93|
03|2|Tipo 11|
02|3|Assinatura 676|49.74
03|1|Classe 19|
03|2|Classe 84|
03|3|Categoria 81|
02|4|Licença 023|305.77
03|1|Categoria 22|
03|2|Grupo 35|
02|5|Serviço 301|321.19
03|1|Categoria 14|
03|2|Categoria 81|
03|3|Categoria 87|
03|4|Categoria 17|
01|NF|04-0010|1643.37
02|1|Peça 340|311.12
03|1|Grupo 83|
02|2|Peça 572|336.56
03|1|Grupo 50|
03|2|Tipo 58|
02|3|Licença 829|133.06
03|1|Categoria 75|
03|2|Classe 22|
02|4|Item 068|303.07
03|1|Categoria 92|
03|2|Classe 71|
03|3|Categoria 22|
